,Northwest,Northwest,Northwest,Northwest,North Center,North Center,North Center,North Center,South Center,South Center,South Center,South Center,Southeast,Southeast,Southeast,Southeast,Grace,Grace,Grace,Grace
,5 cm,5 cm,15 cm,15 cm,5 cm,5 cm,15 cm,15 cm,5 cm,5 cm,15 cm,15 cm,5 cm,5 cm,15 cm,15 cm,shallow,shallow,deep,deep
,Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%)
59,2.716439269,22.73,2.897343588,22.23,3.1188895839999997,24.21,3.206269325,24.03,1.318256739,33.97,1.267651866,29.87,0.959400632,32.2,1.1246049740000001,27.18,0.9107530451447869,32.54,1.3323090379025802,33.61
60,2.7605778560000003,22.13,2.944421634,21.5,3.1768740710000003,23.61,3.250872974,23.45,1.3365955170000001,33.47,1.2793813040000002,29.48,0.9660508790000001,31.74,1.1350108159999999,26.72,0.9248065116591841,32.04,1.3646171216281298,33.09
61,2.79898132,21.54,2.992264637,20.84,3.2359365689999997,23.06,3.311311215,22.89,1.3520725630000001,32.97,1.2912192740000001,29.08,0.981747943,31.27,1.129795915,26.27,0.958843973548823,31.55,1.34832912272167,32.55
62,2.844461107,20.95,3.040885026,20.2,3.288516309,22.53,3.3651156939999995,22.35,1.374041975,32.47,1.306170888,28.68,1.013911386,30.8,1.142878335,25.8,1.0325507013038802,31.06,1.38956329883923,31.98
63,2.8906798819999997,20.34,3.097419299,19.56,3.3419504,22.01,3.419794425,21.82,1.396368361,31.97,1.318256739,28.26,1.0423174290000001,30.32,1.172195366,25.31,1.1023447269526698,30.53,1.4866042361101899,31.42
64,2.944421634,19.68,3.1477483139999998,18.89,3.396252726,21.54,3.491403155,21.12,1.419057522,31.48,1.3365955170000001,27.83,1.066596121,29.84,1.191242008,24.8,1.1657250284563898,29.96,1.5532523093946,30.89
65,2.999162519,18.99,3.206269325,18.21,3.451437393,21.05,3.5727283819999998,20.28,1.4421153519999999,30.99,1.3520725630000001,27.39,1.0889300929999999,29.35,1.20503594,24.3,1.22724167007423,29.37,1.6033780726051998,30.36
66,3.0549211130000002,18.29,3.273406949,17.48,3.50751874,20.52,3.647539469,19.53,1.468926278,30.49,1.370881766,26.92,1.111731727,28.87,1.2189895990000001,23.81,1.29339663583777,28.79,1.6557303095989702,29.82
67,3.1188895839999997,17.58,3.3496543919999997,16.67,3.5727283819999998,19.96,3.732501578,18.79,1.4962356559999999,29.99,1.3899526309999999,26.45,1.129795915,28.41,1.235947433,23.32,1.34832912272167,28.17,1.72166017264267,29.25
68,3.184197522,16.82,3.427677865,15.84,3.647539469,19.37,3.828247433,18.02,1.524052754,29.46,1.4092887980000002,25.97,1.1534532579999999,27.95,1.253141175,22.83,1.42381399695472,27.53,1.791188016331,28.66
69,3.25836701,16.05,3.52370871,14.98,3.732501578,18.73,3.926449354,17.3,1.555965632,28.87,1.432187899,25.44,1.183041556,27.48,1.2735030809999999,22.33,1.5241985916309397,26.91,1.87716773545253,28.07
70,3.3419504,15.28,3.6224299839999996,14.13,3.810658234,18.12,4.017908108,16.66,1.5922087269999998,28.24,1.45881426,24.87,1.207813835,26.99,1.2971792709999999,21.81,1.6136666929685899,26.3,1.98234514271314,27.46
71,3.419794425,14.51,3.723917063,13.34,3.89045145,17.55,4.120975191,15.97,1.6368165209999999,27.59,1.4859356419999998,24.29,1.235947433,26.48,1.3212956340000002,21.27,1.72166017264267,25.69,2.09553845049258,26.84
